iter	Passed	Remaining
0	129	12840
1	131	6463
2	134	4336
3	136	3277
4	138	2636
5	142	2228
6	145	1929
7	147	1693
8	152	1546
9	155	1396
10	157	1273
11	159	1168
12	161	1080
13	169	1039
14	171	971
15	176	924
16	179	877
17	182	829
18	183	783
19	185	743
20	188	707
21	190	674
22	191	642
23	195	617
24	197	592
25	199	568
26	203	548
27	206	529
28	207	508
29	209	489
30	213	474
31	215	457
32	217	440
33	220	427
34	222	412
35	225	401
36	228	389
37	230	376
38	233	365
39	236	354
40	239	344
41	243	336
42	246	326
43	248	315
44	250	306
45	253	297
46	264	298
47	267	289
48	269	280
49	272	272
50	275	264
51	276	255
52	278	246
53	280	239
54	282	231
55	284	223
56	289	218
57	291	211
58	293	204
59	295	197
60	298	190
61	300	184
62	304	178
63	306	172
64	308	166
65	311	160
66	314	154
67	318	149
68	320	144
69	322	138
70	324	132
71	325	126
72	328	121
73	330	116
74	335	111
75	337	106
76	339	101
77	341	96
78	344	91
79	346	86
80	349	82
81	352	77
82	355	72
83	357	68
84	359	63
85	361	58
86	365	54
87	367	50
88	369	45
89	371	41
90	375	37
91	378	32
92	381	28
93	383	24
94	386	20
95	389	16
96	391	12
97	395	8
98	397	4
99	399	0
